Sun May 27 22:28:01 2018    ./profiler_data/Opt_draw_functions\stats

         88789169 function calls (87461071 primitive calls) in 43.331 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.003    0.000    0.003    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.002    0.002 score.py:81(__init__)
        1    0.000    0.000    0.002    0.002 score.py:33(__init__)
     1874    0.002    0.000    0.002    0.000 visu.py:30(__init__)
     5694    0.002    0.000    0.002    0.000 {built-in method builtins.len}
       27    0.001    0.000    0.002    0.000 __init__.py:1382(_substitute)
       15    0.000    0.000    0.002    0.000 __init__.py:2280(__init__)
    11269    0.002    0.000    0.002    0.000 {built-in method _tkinter._flatten}
       52    0.000    0.000    0.002    0.000 visu.py:98(clear_text)
      398    0.001    0.000    0.002    0.000 g_eng.py:78(intersect)
       62    0.000    0.000    0.002    0.000 score.py:13(__init__)
       61    0.000    0.000    0.001    0.000 score.py:22(read_from_line)
     7559    0.001    0.000    0.001    0.000 vec.py:101(<listcomp>)
       61    0.000    0.000    0.001    0.000 {built-in method strptime}
       61    0.000    0.000    0.001    0.000 _strptime.py:562(_strptime_datetime)
     5975    0.001    0.000    0.001    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       61    0.001    0.000    0.001    0.000 _strptime.py:321(_strptime)
        5    0.000    0.000    0.001    0.000 {built-in method builtins.print}
       14    0.000    0.000    0.001    0.000 iostream.py:342(write)
       15    0.001    0.000    0.001    0.000 iostream.py:180(schedule)
        1    0.000    0.000    0.001    0.001 score.py:89(render_scores)
        5    0.000    0.000    0.001    0.000 __init__.py:2742(__init__)
     3915    0.001    0.000    0.001    0.000 vec.py:77(<listcomp>)
        6    0.000    0.000    0.001    0.000 g_eng.py:56(initialize_food)
        1    0.000    0.000    0.001    0.001 g_eng.py:19(__init__)
     5679    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.001    0.001 score.py:85(add_score)
        1    0.000    0.000    0.001    0.001 score.py:53(write_scores)
      297    0.000    0.000    0.001    0.000 __init__.py:1388(getint_event)
        3    0.000    0.000    0.001    0.000 __init__.py:2855(__init__)
        3    0.000    0.000    0.000    0.000 visu.py:66(__init__)
       63    0.000    0.000    0.000    0.000 vec.py:92(__mul__)
        1    0.000    0.000    0.000    0.000 visu.py:179(__init__)
        1    0.000    0.000    0.000    0.000 snake.py:12(__init__)
       53    0.000    0.000    0.000    0.000 g_eng.py:42(generate_plist)
        1    0.000    0.000    0.000    0.000 __init__.py:2061(readprofile)
        5    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        2    0.000    0.000    0.000    0.000 visu.py:93(add_text)
        5    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.000    0.000 __init__.py:2496(create_text)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       28    0.000    0.000    0.000    0.000 __init__.py:1206(bind)
       61    0.000    0.000    0.000    0.000 _strptime.py:29(_getlang)
       28    0.000    0.000    0.000    0.000 __init__.py:1189(_bind)
       61    0.000    0.000    0.000    0.000 locale.py:565(getlocale)
       27    0.000    0.000    0.000    0.000 __init__.py:1334(nametowidget)
       52    0.000    0.000    0.000    0.000 main.py:81(get_key)
       33    0.000    0.000    0.000    0.000 __init__.py:1351(_register)
        3    0.000    0.000    0.000    0.000 __init__.py:2389(__init__)
        6    0.000    0.000    0.000    0.000 g_eng.py:58(generate_rand_point)
       27    0.000    0.000    0.000    0.000 main.py:272(move)
       16    0.000    0.000    0.000    0.000 __init__.py:581(destroy)
       27    0.000    0.000    0.000    0.000 enum.py:265(__call__)
       79    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2027(_loadtk)
        2    0.000    0.000    0.000    0.000 prj.py:125(calc_tmatrix)
       15    0.000    0.000    0.000    0.000 __init__.py:2247(_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:2316(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1950(wm_protocol)
        6    0.000    0.000    0.000    0.000 __init__.py:2203(grid_configure)
        3    0.000    0.000    0.000    0.000 __init__.py:2724(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:2869(add)
       61    0.000    0.000    0.000    0.000 locale.py:462(_parse_localename)
       24    0.000    0.000    0.000    0.000 random.py:172(randrange)
       56    0.000    0.000    0.000    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.000    0.000 prj.py:52(calc_tmatrix)
        6    0.000    0.000    0.000    0.000 vec.py:203(cross)
       35    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 prj.py:103(__init__)
       61    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
       61    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
       61    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 prj.py:26(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       27    0.000    0.000    0.000    0.000 main.py:78(push_key)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       61    0.000    0.000    0.000    0.000 locale.py:379(normalize)
       27    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.000    0.000 prj.py:160(change_position)
        2    0.000    0.000    0.000    0.000 __init__.py:2879(add_command)
       88    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       15    0.000    0.000    0.000    0.000 threading.py:1104(is_alive)
       24    0.000    0.000    0.000    0.000 random.py:222(_randbelow)
       35    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:467(__init__)
       27    0.000    0.000    0.000    0.000 snake.py:41(change_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:296(__init__)
        4    0.000    0.000    0.000    0.000 ntpath.py:74(join)
       10    0.000    0.000    0.000    0.000 vec.py:49(normalize)
        3    0.000    0.000    0.000    0.000 __init__.py:2873(add_cascade)
        1    0.000    0.000    0.000    0.000 __init__.py:325(__del__)
        1    0.000    0.000    0.000    0.000 score.py:62(get_top_ten_scores)
        1    0.000    0.000    0.000    0.000 ntpath.py:233(basename)
        1    0.000    0.000    0.000    0.000 ntpath.py:199(split)
        2    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        9    0.000    0.000    0.000    0.000 ntpath.py:121(splitdrive)
       15    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        1    0.000    0.000    0.000    0.000 prj.py:93(change_position)
        5    0.000    0.000    0.000    0.000 __init__.py:2119(pack_configure)
       14    0.000    0.000    0.000    0.000 vec.py:39(magnitude)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 __init__.py:59(_stringify)
       29    0.000    0.000    0.000    0.000 __init__.py:1373(_root)
